Setting,Case Name,Train Frame Num,Train Chamfer Error,Test Frame Num,Test Chamfer Error
Boba,double_lift_cloth_1,80,0.0068655372597277164,35,0.01546193566173315
Boba,double_lift_cloth_3,81,0.006298755295574665,36,0.018534179776906967
Boba,double_lift_sloth,42,0.010665969923138618,19,0.0208083838224411
Boba,double_lift_zebra,39,0.01268138736486435,18,0.032534461468458176
Boba,double_stretch_sloth,133,0.010782750323414803,58,0.009941715747117996
Boba,double_stretch_zebra,137,0.011662916280329227,60,0.012196711264550686
Boba,rope_double_hand,183,0.012140750885009766,80,0.013047834858298302
Boba,single_clift_cloth_1,55,0.006457018665969372,24,0.011874866671860218
Boba,single_clift_cloth_3,66,0.0051627932116389275,30,0.012205217033624649
Boba,single_lift_cloth,120,0.016145426779985428,52,0.020156333222985268
Boba,single_lift_cloth_1,76,0.012768241576850414,33,0.026616716757416725
Boba,single_lift_cloth_3,108,0.011232932098209858,47,0.019549785181879997
Boba,single_lift_cloth_4,119,0.012082059867680073,52,0.02283710055053234
Boba,single_lift_dinosor,59,0.011419232934713364,26,0.017566928640007973
Boba,single_lift_rope,34,0.0100646261125803,15,0.01651781238615513
Boba,single_lift_sloth,58,0.009263149462640285,26,0.022066136822104454
Boba,single_lift_zebra,45,0.009271519258618355,20,0.02948073111474514
Boba,single_push_rope,39,0.009435808286070824,18,0.011554430238902569
Boba,single_push_rope_1,63,0.008100970648229122,28,0.010246171616017818
Boba,single_push_rope_4,57,0.013834383338689804,25,0.025025220587849617
Boba,single_push_sloth,46,0.01270789559930563,21,0.015357132069766521
Boba,weird_package,26,0.02202429063618183,12,0.03451042249798775
Boba_Local,double_lift_cloth_1,80,0.0057583460584282875,35,0.011639268137514591
Boba_Local,double_lift_cloth_3,81,0.005370141938328743,36,0.016314120963215828
Boba_Local,double_lift_sloth,42,0.006779068149626255,19,0.018906110897660255
Boba_Local,double_lift_zebra,39,0.006366031244397163,18,0.015016423538327217
Boba_Local,double_stretch_sloth,133,0.006855481304228306,58,0.007327523548156023
Boba_Local,double_stretch_zebra,137,0.008320272900164127,60,0.008953225798904896
Boba_Local,rope_double_hand,183,0.006804147269576788,80,0.0072118742391467094
Boba_Local,single_clift_cloth_1,55,0.005680209957063198,24,0.009440094232559204
Boba_Local,single_clift_cloth_3,66,0.004489900544285774,30,0.006737119983881712
Boba_Local,single_lift_cloth,120,0.012707456015050411,52,0.02305641770362854
Boba_Local,single_lift_cloth_1,76,0.0074859317392110825,33,0.018346063792705536
Boba_Local,single_lift_cloth_3,108,0.0074737719260156155,47,0.011678636074066162
Boba_Local,single_lift_cloth_4,119,0.00874011218547821,52,0.021014701575040817
Boba_Local,single_lift_dinosor,59,0.006981237791478634,26,0.013535459525883198
Boba_Local,single_lift_rope,34,0.006685355212539434,15,0.011894634924829006
Boba_Local,single_lift_sloth,58,0.0063660768792033195,26,0.02160925418138504
Boba_Local,single_lift_zebra,45,0.006134428083896637,20,0.01708385907113552
Boba_Local,single_push_rope,39,0.006780749652534723,18,0.008274666965007782
Boba_Local,single_push_rope_1,63,0.006150406319648027,28,0.007008313201367855
Boba_Local,single_push_rope_4,57,0.005220454651862383,25,0.007544389925897121
Boba_Local,single_push_sloth,46,0.009372973814606667,21,0.022808512672781944
Boba_Local,weird_package,26,0.011706996709108353,12,0.01569690741598606
