Setting,Case Name,Train Track Error,Test Track Error
Boba,double_lift_cloth_1,0.010856839633197524,0.06216853644166674
Boba,double_lift_cloth_3,0.0057054181226793635,0.0381021934768392
Boba,double_lift_sloth,0.02119556864324425,0.08912701140108861
Boba,double_lift_zebra,0.01809155639523688,0.09007284086611536
Boba,double_stretch_sloth,0.04414273372018024,0.03182268015847638
Boba,double_stretch_zebra,0.03812128998488731,0.04242873216668765
Boba,rope_double_hand,0.06284287867589237,0.0786763796932064
Boba,single_clift_cloth_1,0.0081973885609345,0.02705879253335297
Boba,single_clift_cloth_3,0.009940015286150756,0.05271974578499794
Boba,single_lift_cloth,0.07981362897747507,0.12281546483819301
Boba,single_lift_cloth_1,0.02328273632539142,0.09337496520443396
Boba,single_lift_cloth_3,0.025071562774462142,0.10763012586121863
Boba,single_lift_cloth_4,0.034335167788970875,0.13817663204211456
Boba,single_lift_dinosor,0.02131410776558569,0.05195409883386814
Boba,single_lift_rope,0.019122079863925192,0.07942953134576479
Boba,single_lift_sloth,0.02042859824021058,0.1129806162073062
Boba,single_lift_zebra,0.01861022804967231,0.08652247544378042
Boba,single_push_rope,0.01633538345161539,0.02902345307585266
Boba,single_push_rope_1,0.014312656400429587,0.03850415987627847
Boba,single_push_rope_4,0.022982136893756035,0.0462802791595459
Boba,single_push_sloth,0.033296867091532636,0.09210557845376786
Boba,weird_package,0.07439052324312237,0.18608454863230386
Boba_Local,double_lift_cloth_1,0.0043567372835241255,0.0198007893083351
Boba_Local,double_lift_cloth_3,0.003944941215723017,0.01076798812331011
Boba_Local,double_lift_sloth,0.008854765206619743,0.024478282779455185
Boba_Local,double_lift_zebra,0.005989382592722392,0.02841698657721281
Boba_Local,double_stretch_sloth,0.007228110773362836,0.008931319293533933
Boba_Local,double_stretch_zebra,0.009194905662324525,0.012381001670534412
Boba_Local,rope_double_hand,0.010015363028893868,0.015629408630775287
Boba_Local,single_clift_cloth_1,0.004702031785960902,0.011482353089377284
Boba_Local,single_clift_cloth_3,0.00626323005240975,0.014432148449122906
Boba_Local,single_lift_cloth,0.027059680793900042,0.061316780817623324
Boba_Local,single_lift_cloth_1,0.009819343036628868,0.027316842538615067
Boba_Local,single_lift_cloth_3,0.008979927287092087,0.027843838438708732
Boba_Local,single_lift_cloth_4,0.01434951407067916,0.02472450974612282
Boba_Local,single_lift_dinosor,0.007073957922915786,0.01566375381886386
Boba_Local,single_lift_rope,0.006121829604072606,0.016956507104138534
Boba_Local,single_lift_sloth,0.005262196361055148,0.02922423019145544
Boba_Local,single_lift_zebra,0.0070159851366447075,0.025276179984211923
Boba_Local,single_push_rope,0.006605826067523315,0.012379772857659392
Boba_Local,single_push_rope_1,0.004916110859503822,0.0074591771865795764
Boba_Local,single_push_rope_4,0.007954944570532493,0.012474544271826744
Boba_Local,single_push_sloth,0.010218972340226173,0.02952987319301991
Boba_Local,weird_package,0.021119176929530043,0.02310070814564824
